,region,CIDR,VPCID,OVERLAPS
38,ap-southeast-2a,10.1.0.0/24,vpc-065b2aa863d52c8ae,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
39,ap-southeast-2a,172.31.0.0/20,vpc-a3f41fc5,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
40,ap-southeast-2c,10.1.2.0/24,vpc-065b2aa863d52c8ae,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
41,ap-southeast-2a,10.20.0.0/24,vpc-0a6d4142eb0b78072,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
42,ap-southeast-2b,10.1.1.0/24,vpc-065b2aa863d52c8ae,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
43,eu-central-1a,172.31.16.0/20,vpc-a541d0cf,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
44,eu-central-1b,172.31.32.0/20,vpc-a541d0cf,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
45,eu-central-1c,172.31.0.0/20,vpc-a541d0cf,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
46,us-east-1d,172.31.16.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
47,us-east-1b,172.31.0.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
